epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.5997,1.19335,0.93658,1.07357,0.53693,0.44073,0.435,0.26924,1.16288,0.99981,1.10818,0.000276991,0.000276991,0.000276991
2,169.479,1.13467,0.82264,1.05654,0.53012,0.44751,0.43362,0.25342,1.19125,0.90971,1.13927,0.000545506,0.000545506,0.000545506
3,252.978,1.11786,0.79411,1.05101,0.51565,0.37978,0.38984,0.23758,1.28992,0.97853,1.15618,0.000804858,0.000804858,0.000804858
4,336.853,1.0759,0.74604,1.03643,0.50197,0.41049,0.39771,0.22796,1.1971,0.8936,1.13042,0.000791767,0.000791767,0.000791767
5,448.324,1.02617,0.68953,1.01566,0.50221,0.45039,0.44197,0.27171,1.18461,0.87873,1.12986,0.000778022,0.000778022,0.000778022
6,531.462,0.98767,0.65184,0.99592,0.5843,0.3693,0.40051,0.24867,1.15712,0.82016,1.11154,0.000764278,0.000764278,0.000764278
7,614.554,0.96038,0.62272,0.98809,0.54151,0.45821,0.46563,0.29226,1.16792,0.80331,1.10851,0.000750533,0.000750533,0.000750533
8,700.437,0.93412,0.59366,0.9766,0.49275,0.44561,0.44274,0.27724,1.16571,0.83326,1.11589,0.000736788,0.000736788,0.000736788
9,787.693,0.91491,0.57842,0.96821,0.58011,0.45638,0.44565,0.27622,1.14124,0.81502,1.10264,0.000723044,0.000723044,0.000723044
10,874.755,0.88716,0.55547,0.95612,0.58732,0.43921,0.4749,0.30696,1.1192,0.80545,1.09241,0.000709299,0.000709299,0.000709299
11,964.233,0.87374,0.53839,0.95077,0.46428,0.43877,0.40147,0.24675,1.14171,0.81065,1.10366,0.000695555,0.000695555,0.000695555
12,1054.19,0.85331,0.52351,0.94562,0.54474,0.42369,0.43281,0.27917,1.13176,0.80275,1.10148,0.00068181,0.00068181,0.00068181
13,1143.45,0.8358,0.51042,0.9373,0.70816,0.40317,0.44982,0.27531,1.11317,0.76595,1.08952,0.000668066,0.000668066,0.000668066
14,1232.57,0.82639,0.50078,0.934,0.53064,0.45281,0.44348,0.27896,1.09882,0.78695,1.08711,0.000654321,0.000654321,0.000654321
15,1320.99,0.80741,0.48693,0.92935,0.55686,0.42121,0.45804,0.28677,1.10721,0.79519,1.09235,0.000640577,0.000640577,0.000640577
16,1410.1,0.79326,0.47717,0.92123,0.6191,0.449,0.45643,0.28294,1.10376,0.76239,1.08641,0.000626832,0.000626832,0.000626832
